// collect_tlog_2.0
// Set-Top Box uptime_start: 0
// tlog start time : 20240115-080000
tlog
Idx  Date(MM/DD/YY)  StartTime  StopTime  Duration(m)  Energy(kWh)  Fault  User
001  01/15/24        08:00:00   09:03:12  063          07.214       0000   RFID:1001
002  01/15/24        09:45:31   10:52:44  067          07.856       0000   RFID:1002
003  01/15/24        11:10:00   12:40:15  090          10.531       0000   RFID:1003
004  01/15/24        13:05:22   14:00:00  055          06.425       0000   RFID:1004
005  01/15/24        14:30:00   16:00:00  090          10.800       0000   RFID:1001
006  01/16/24        07:55:10   09:10:00  075          08.750       0000   RFID:1005
007  01/16/24        09:30:00   11:00:00  090          10.800       0000   RFID:1002
008  01/16/24        11:15:00   12:00:00  045          05.250       0000   RFID:1006
009  01/16/24        13:00:00   14:30:00  090          10.530       0000   RFID:1003
010  01/16/24        15:00:00   16:30:00  090          10.800       0001   RFID:1007
011  01/17/24        08:00:00   09:15:00  075          08.750       0000   RFID:1001
012  01/17/24        10:00:00   11:30:00  090          10.800       0000   RFID:1004
013  01/17/24        12:00:00   13:45:00  105          12.225       0000   RFID:1008
014  01/17/24        14:00:00   14:45:00  045          05.250       0000   RFID:1002
015  01/17/24        15:30:00   17:00:00  090          10.530       0000   RFID:1005
016  01/18/24        07:30:00   08:30:00  060          07.200       0000   RFID:1003
017  01/18/24        09:00:00   10:00:00  060          07.000       0000   RFID:1009
018  01/18/24        10:30:00   12:00:00  090          10.530       0000   RFID:1006
019  01/18/24        13:00:00   14:00:00  060          07.200       0000   RFID:1001
020  01/18/24        14:30:00   16:00:00  090          10.800       0000   RFID:1010
Printed from SN: 53300201
// Set-Top Box uptime_end: 300
// tlog took(min): 5.00
// tlog end time : 20240115-080500
